Repeat,Seed,Dataset,TargetSensor,FaultType,RunLevelN,FullMAE,MedianReplacementMAE,MaskDropoutMAE,AutoMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent,CorrectDetectionRate,MeanDurationFraction,MeanSeverity
1,2026071801,NUAA,force_z,Saturation,152,0.0960904859008732,0.0419172371549095,0.0413103109041697,0.0436509447166754,56.3773283463763,57.0089478506901,54.5730835811303,0.973684210526316,0.419309585983234,0.419309585983234
1,2026071801,NUAA,force_z,Dropout,152,0.0541804286687371,0.0414203321771882,0.0405642834214178,0.0432505034382295,23.5511176361579,25.1311139130504,20.1731981438056,0.914473684210526,0.405049293902675,0.405049293902675
1,2026071801,NUAA,force_z,Bias,152,0.0635470731746169,0.0450662615514883,0.0450450380973659,0.0456035426875388,29.0820815182886,29.115479522417,28.2365962595511,0.572368421052632,0.613628120588837,1.72079938500812
1,2026071801,NUAA,force_z,Noise,152,0.0902443362911333,0.0456132529631225,0.0448317347792841,0.0463404266242184,49.455827548034,50.3218300208288,48.6500443920141,0.592105263157895,0.616484322739211,1.10417046287773
1,2026071801,NUAA,vibration_x,Saturation,152,0.0393534336214625,0.0395381377630809,0.0395176528204299,0.0401040677128648,-0.469346953038696,-0.417293191102483,-1.90741702140311,1,0.414227657365456,0.414227657365456
1,2026071801,NUAA,vibration_x,Dropout,152,0.0394922523714091,0.0395381377630809,0.0395176528204299,0.0401040677128648,-0.116188338006896,-0.0643175496345623,-1.54920346325618,1,0.402224415151834,0.402224415151834
1,2026071801,NUAA,vibration_x,Bias,152,0.0395807129639349,0.0398160221999515,0.0405273467859616,0.0400117174505032,-0.594504793865151,-2.39165429609441,-1.08892552532105,0.0131578947368421,0.588279649133209,1.81732091873455
1,2026071801,NUAA,vibration_x,Noise,152,0.0401511673498522,0.0403344891622751,0.0413040542389597,0.0403814957834744,-0.456579034989349,-2.87136580379333,-0.573653143419843,0.00657894736842105,0.586636359279844,1.07448974345539
1,2026071801,NUAA,vibration_y,Saturation,152,0.0537696619898312,0.0381670474217936,0.0380965929566498,0.0380944885855088,29.0175053936333,29.1485355369083,29.1524492143672,1,0.416709501112774,0.416709501112774
1,2026071801,NUAA,vibration_y,Dropout,152,0.041654234351607,0.0381670474217936,0.0380965929566498,0.0380944885855088,8.37174655613107,8.54088774007179,8.54593973820307,1,0.399319207443247,0.399319207443247
1,2026071801,NUAA,vibration_y,Bias,152,0.0496001818253437,0.0395996851480023,0.0398759476671347,0.0399414907671235,20.162217776854,19.6052389332983,19.4730960709603,0.473684210526316,0.630755362715336,1.76716859318271
1,2026071801,NUAA,vibration_y,Noise,152,0.0399961375058289,0.0393935796780728,0.0390211822056805,0.0393163825756949,1.50654004444378,2.4376236330479,1.69955143802321,0.0263157894736842,0.584455940672517,1.14109963296269
1,2026071801,PHM2010,force_z,Saturation,945,0.018661928455378,0.0132185972114446,0.0112049374226772,0.0109959153803692,29.1681069132207,39.9583089739678,41.0783542190654,1,0.400787299339733,0.400787299339733
1,2026071801,PHM2010,force_z,Dropout,945,0.0215438783279252,0.0132185972114446,0.0112049374226772,0.0109959153803692,38.643372329528,47.9901564048782,48.9603718838482,1,0.398381933572295,0.398381933572295
1,2026071801,PHM2010,force_z,Bias,945,0.014121124612518,0.0125035177903534,0.0124584879264216,0.0123715356444889,11.4552265952714,11.7741095820545,12.3898699008584,0.278306878306878,0.608223981560233,1.71613602866086
1,2026071801,PHM2010,force_z,Noise,945,0.0133247743472455,0.013149532127146,0.0136395807971303,0.0131844129691534,1.31516088402403,-2.36256496118351,1.05338652973966,0.0423280423280423,0.603012915380967,1.10727592384493
1,2026071801,PHM2010,vibration_x,Saturation,945,0.0149756927191576,0.0120398101287495,0.0124170466189279,0.0129484263922632,19.6043191154187,17.0853271912867,13.5370454302993,0.998941798941799,0.40361336739702,0.40361336739702
1,2026071801,PHM2010,vibration_x,Dropout,945,0.0127432402405541,0.0127636605746333,0.0126934900118052,0.0132424825118482,-0.160244440925367,0.390404856298707,-3.91770273391937,0.757671957671958,0.398478210264789,0.398478210264789
