Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent,MeanDurationFraction,MeanSeverity
NUAA,force_z,Saturation,30,0.985745614035087,0.0110740185727654,53.3913994474539,0.399020553613549,0.399020553613549
NUAA,force_z,Dropout,30,0.931359649122807,0.0151294417070825,20.61946103761,0.396277423676098,0.396277423676098
NUAA,force_z,Bias,30,0.622368421052632,0.0410528060864642,29.1158062167794,0.605190461543505,1.7233065104493
NUAA,force_z,Noise,30,0.642324561403509,0.031503394445036,48.2524546944687,0.600196255682826,1.11642440011966
NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805,0.402713837578869,0.402713837578869
NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407,0.401269363311528,0.401269363311528
NUAA,vibration_x,Bias,30,0.51359649122807,0.0358655467084768,1.37408050914858,0.594461926831551,1.74686807895362
NUAA,vibration_x,Noise,30,0.104605263157895,0.0152929726325529,0.485254465176795,0.592739893181283,1.11649570001768
NUAA,vibration_y,Saturation,30,1,0,24.9581641823801,0.402741260052425,0.402741260052425
NUAA,vibration_y,Dropout,30,1,0,9.11497907264581,0.39851905877917,0.39851905877917
NUAA,vibration_y,Bias,30,0.661842105263158,0.0321652321420881,17.7337822699666,0.603324001263997,1.73562364141651
NUAA,vibration_y,Noise,30,0.155921052631579,0.0233816886111283,5.07111759447584,0.604710951743571,1.12903922967665
PHM2010,force_z,Saturation,30,1,0,41.1674683924903,0.40043253733908,0.40043253733908
PHM2010,force_z,Dropout,30,1,0,50.0166272725524,0.399301941903711,0.399301941903711
PHM2010,force_z,Bias,30,0.781446208112875,0.0144205180881037,20.7845155636504,0.602214614066156,1.74600267799102
PHM2010,force_z,Noise,30,0.649312169312169,0.0125657486568267,13.2813258861923,0.603067704117762,1.12589676277526
PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328,0.402930376718451,0.402930376718451
PHM2010,vibration_x,Dropout,30,0.998447971781305,0.000536948426883479,-1.57512587901744,0.399721810466081,0.399721810466081
PHM2010,vibration_x,Bias,30,0.45026455026455,0.0123335967497766,15.9819890500232,0.599644363293679,1.757615069846
PHM2010,vibration_x,Noise,30,0.138518518518519,0.00632696951339196,4.57112813374909,0.601416938530062,1.12458940713474
PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647,0.399847271976569,0.399847271976569
PHM2010,vibration_y,Dropout,30,0.782398589065256,0.0103662861958755,-9.29989318965352,0.399529885732181,0.399529885732181
PHM2010,vibration_y,Bias,30,0.111499118165785,0.00785758156074488,1.98148411764208,0.599247144442521,1.75683887521628
PHM2010,vibration_y,Noise,30,0.00261022927689594,0.00166119630214794,2.48253111002864,0.601736401455741,1.1219526266292
