Dataset,Experiment,RunLevelN,TechnicalRepeatN,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleMaskTrainRelativeMAE,MultiMaskTrainRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,MedianRelativeMAE_SD,SingleMaskTrainRelativeMAE_SD,MultiMaskTrainRelativeMAE_SD,SingleSQTR_RelativeMAE_SD,SubsetRoutingRelativeMAE_SD,SubsetImprovementPercent,SingleImprovementPercent,SingleMaskImprovementPercent,MultiMaskImprovementPercent
NUAA,W1,29,30,0.0689655172413793,1.70485912410026,1.10286014700366,1.06931367480318,1.14300158932757,1.11084494879005,1.05846656610888,0.897245235256815,0.0292035862965761,0.0205419127492582,0.01910836700334,0.0315953553508139,0.0294274911889936,37.8134227593146,34.7361443272114,37.1782578823435,32.8556100749508
NUAA,W2,17,30,0.117647058823529,1.93706091395786,1.29617441981698,1.41745300547066,1.29179819964537,1.35891369561332,1.3291844746878,1.30145579841828,0.0401373024880391,0.0450637496503549,0.0265405232908581,0.0420569018232925,0.0430125577920721,31.2809022173863,29.7426791441521,26.7033248941745,33.2055050595137
NUAA,W3,11,30,0,1.0811155869696,0.977515249034976,0.918480599344383,0.909103109200011,0.999635911634608,0.952976947584289,0.884640170041743,0.0148534541032734,0.0160445147647052,0.0161777926649874,0.0157580395898458,0.0156114604840815,11.7650851889722,7.45718317813083,14.9619646027145,15.8321082495992
NUAA,W4,28,30,0.0357142857142857,1.09378146708585,0.972398141100787,0.954285422868949,0.995970793591701,1.05667013449727,0.985374730779214,0.940176092670743,0.0219434974257226,0.0145826436519482,0.0150210197064652,0.0225631034946272,0.0223113522865494,9.88007697159872,3.35874636419734,12.7153413644001,8.9016971349136
NUAA,W5,7,30,0.142857142857143,1.48384750395408,1.30551192777761,1.32262383863067,1.79774693054379,1.59743293844877,1.54684529918264,1.61660246794397,0.0513028752707141,0.0537315377949927,0.0517061840993552,0.0603357222361129,0.0547386104686,-4.52973589669812,-7.88895707883974,10.6024252808254,-21.5298332500686
NUAA,W6,14,30,0,1.08773018040956,1.03044969867265,1.01488004314139,0.991388959208349,1.00643791925855,1.00699603184285,0.984256071863097,0.0133985315462148,0.0145776771707992,0.0132567963991844,0.0146600959263696,0.0134273403178661,7.39909792014608,7.45038632774685,6.67286120893363,8.83276959653134
NUAA,W7,8,30,0,1.00280963654101,1.00687887125834,0.979936755964338,0.992596554453807,0.99347024736865,0.998006157308613,0.987694639914898,0.00729727192377734,0.00650070297396965,0.00813299165762304,0.00909924503978298,0.00759845155704234,0.470237084785604,0.922497112418864,2.2715187739257,1.00983690335071
NUAA,W8,31,30,0,1.25578827720041,1.09435288411212,1.07328880788728,1.05475083889272,1.11138487774236,1.21918755138336,1.48740138951196,0.00950426616725989,0.0107237248663092,0.00821706869129814,0.0100835978375986,0.010781018855077,2.89070488377208,11.4785190133484,14.5112566435089,15.9867509970174
NUAA,W9,7,30,0,0.913557098043408,1.11172263705976,1.17173725174411,1.17250807100443,1.13844850729924,1.13169165873466,1.20304456592544,0.0219720585590438,0.0225566280506161,0.0277533539487461,0.0201850944639043,0.0212481609017025,-23.9722485276684,-24.7141274511806,-28.3622806966182,-28.4433910414804
PHM2010,c1,315,30,0.053968253968254,1.08712079741725,0.996900388636874,1.21588289713969,1.29988741402037,1.06335208430746,1.09864508302729,1.26832012139733,0.00457448499023839,0.00488948466303278,0.0052106461748404,0.00519446098699933,0.00494725676589453,-1.06388662968182,2.18263780454542,-11.8493510197209,-19.5767431360123
PHM2010,c4,315,30,0.0285714285714286,1.01610441284856,1.11172869778061,1.11311659187949,1.1516124643664,0.993703919653633,1.02522765181986,1.08627253308084,0.00255691310777463,0.00215338887276007,0.00202510933136623,0.00182391739795071,0.00193057897996683,-0.898258721140604,2.20415165003033,-9.54801146152659,-13.3366149959896
PHM2010,c6,315,30,0.00634920634920635,1.27444309922521,1.21734131108807,0.900918776736917,0.95753062007476,1.15469185551526,1.15362966458991,0.747324708690607,0.00902965071688284,0.00711483127601133,0.0079903624638025,0.00912471128397539,0.00912450833455317,9.47907281590368,9.39571661302459,29.3071475142661,24.8648993936771
